X	Y	T	NOAA NCEP CPC GMSM w
degree_east	degree_north	months since 1960-01-01	mm
   -94.25000    	    40.75000    	    271.5000    	    522.6195    
   -93.75000    	    40.75000    	    271.5000    	    554.7321    
   -93.25000    	    40.75000    	    271.5000    	    609.7441    
   -92.75000    	    40.75000    	    271.5000    	    610.7521    
   -92.25000    	    40.75000    	    271.5000    	    551.1646    
   -91.75000    	    40.75000    	    271.5000    	    508.6419    
   -91.25000    	    40.75000    	    271.5000    	    506.0687    
   -95.75000    	    41.25000    	    271.5000    	    439.8034    
   -95.25000    	    41.25000    	    271.5000    	    455.2260    
   -94.75000    	    41.25000    	    271.5000    	    469.9754    
   -94.25000    	    41.25000    	    271.5000    	    479.0132    
   -93.75000    	    41.25000    	    271.5000    	    521.3203    
   -93.25000    	    41.25000    	    271.5000    	    575.9822    
   -92.75000    	    41.25000    	    271.5000    	    547.6453    
   -92.25000    	    41.25000    	    271.5000    	    508.7854    
   -91.75000    	    41.25000    	    271.5000    	    485.0523    
   -91.25000    	    41.25000    	    271.5000    	    494.9418    
   -95.75000    	    41.75000    	    271.5000    	    440.9071    
   -95.25000    	    41.75000    	    271.5000    	    445.4942    
   -94.75000    	    41.75000    	    271.5000    	    457.7182    
   -94.25000    	    41.75000    	    271.5000    	    458.5774    
   -93.75000    	    41.75000    	    271.5000    	    466.7177    
   -93.25000    	    41.75000    	    271.5000    	    481.2974    
   -92.75000    	    41.75000    	    271.5000    	    475.1478    
   -92.25000    	    41.75000    	    271.5000    	    451.5430    
   -91.75000    	    41.75000    	    271.5000    	    481.9635    
   -91.25000    	    41.75000    	    271.5000    	    486.8139    
   -95.75000    	    42.25000    	    271.5000    	    444.7525    
   -95.25000    	    42.25000    	    271.5000    	    488.2700    
   -94.75000    	    42.25000    	    271.5000    	    478.7433    
   -94.25000    	    42.25000    	    271.5000    	    475.0925    
   -93.75000    	    42.25000    	    271.5000    	    471.5668    
   -93.25000    	    42.25000    	    271.5000    	    471.2511    
   -92.75000    	    42.25000    	    271.5000    	    457.6210    
   -92.25000    	    42.25000    	    271.5000    	    449.2527    
   -91.75000    	    42.25000    	    271.5000    	    470.0188    
   -91.25000    	    42.25000    	    271.5000    	    474.8813    
   -95.75000    	    42.75000    	    271.5000    	    391.2169    
   -95.25000    	    42.75000    	    271.5000    	    486.9216    
   -94.75000    	    42.75000    	    271.5000    	    470.5189    
   -94.25000    	    42.75000    	    271.5000    	    461.2914    
   -93.75000    	    42.75000    	    271.5000    	    464.9304    
   -93.25000    	    42.75000    	    271.5000    	    449.7411    
   -92.75000    	    42.75000    	    271.5000    	    438.7412    
   -92.25000    	    42.75000    	    271.5000    	    450.9894    
   -91.75000    	    42.75000    	    271.5000    	    467.4879    
   -91.25000    	    42.75000    	    271.5000    	    444.2134    
   -95.75000    	    43.25000    	    271.5000    	    399.2764    
